표준코드,제품코드,제품명,규격,단위,상한금액,업체명,주성분코드,주성분명,투여,분류
8806507012711,650701271,심비코트라피헬러흡입제80/2.25마이크로그램_(120회),120,회/통,18660,한국아스트라제네카(주),801100CSI,budesonide(micronized)   9.6mg(80μg/회),외용,222
8806507013015,650701301,울토미리스주100mg/mL(라불리주맙)_(0.3g/3mL),3,mL/병,5542953,한국아스트라제네카(주),689002BIJ,ravulizumab   0.3g(0.1g/mL),주사,639
8806507013114,650701311,울토미리스주100mg/mL(라불리주맙)_(1.1g/11mL),11,mL/병,18846039,한국아스트라제네카(주),689003BIJ,ravulizumab   1.1g(0.1g/mL),주사,639
8806507013220,650701321,스트렌식주100mg/mL(아스포타제알파)_(80mg/0.8mL),0.8,mL/병,5379760,한국아스트라제네카(주),650405BIJ,asfotase α   80mg(0.1g/mL),주사,395
8806507013329,650701331,스트렌식주40mg/mL(아스포타제알파)_(12mg/0.3mL),0.3,mL/병,806964,한국아스트라제네카(주),650401BIJ,asfotase α   12mg(40mg/mL),주사,395
8806507013428,650701341,스트렌식주40mg/mL(아스포타제알파)_(18mg/0.45mL),0.45,mL/병,1210446,한국아스트라제네카(주),650402BIJ,asfotase α   18mg(40mg/mL),주사,395
8806507013527,650701351,스트렌식주40mg/mL(아스포타제알파)_(28mg/0.7mL),0.7,mL/병,1882916,한국아스트라제네카(주),650403BIJ,asfotase α   28mg(40mg/mL),주사,395
8806507013626,650701361,스트렌식주40mg/mL(아스포타제알파)_(40mg/1mL),1,mL/병,2689880,한국아스트라제네카(주),650404BIJ,asfotase α   40mg(40mg/mL),주사,395
8806507013718,650701370,"시다프비아정10/100밀리그램(다파글리플로진,시타글립틴)_(1정)",1,정,846,한국아스트라제네카(주),706900ATB,dapagliflozin propanediol hydrate (as dapagliflozin   10mg),내복,396
8806507014210,650701421,솔리리스주 (에쿨리주맙)_(0.3g/30mL),30,mL/병,3600000,한국아스트라제네카(주),588530BIJ,eculizumab   0.3g(10mg/mL),주사,639
8806508005118,650800511,베라씰프리필드시린지키트_(2mL),2,mL/키트,141847,한국존슨앤드존슨메디칼(주),713700CLQ,human fibrinogen   80mg(prefilled syringe 1),외용,634
8806508005125,650800512,베라씰프리필드시린지키트_(4mL),4,mL/키트,269509,한국존슨앤드존슨메디칼(주),713800CLQ,human fibrinogen   0.16g(prefilled syringe 1),외용,634
8806509001317,650900131,디펩티벤주(N(2)-L-알라닐-L-글루타민)(DipeptivenInj.(N(2)-L-알라닐-L-글루타민))_(20g/100mL),100,mL/병,14638,프레지니우스카비코리아(주),489931BIJ,N(2)-L-alanyl-L-glutamine   20g(0.2g/mL),주사,325
8806509003014,650900300,볼루벤주(VoluvenInj.)_(500mL),500,mL/백,14309,프레지니우스카비코리아(주),319200BIJ,hydroxyethyl starch   30g(60mg/mL),주사,339
8806509003410,650900340,스모프리피드20%주_(100mL),100,mL/병,5656,프레지니우스카비코리아(주),511900BIJ,medium chain triglyceride   6g(60mg/mL),주사,329
8806509003519,650900350,스모프리피드20%주_(250mL),250,mL/병,9899,프레지니우스카비코리아(주),486700BIJ,medium chain triglyceride   15g(60mg/mL),주사,329
8806509003618,650900360,스모프리피드20%주_(500mL),500,mL/병,17571,프레지니우스카비코리아(주),486800BIJ,medium chain triglyceride   30g(60mg/mL),주사,329
8806509008316,650900831,인트라리피드10%주(정제대두유)_(50g/500mL),500,mL/백,12964,프레지니우스카비코리아(주),230503BIJ,soybean oil(10%)   50g(0.1g/mL),주사,329
8806509008415,650900841,인트라리피드20%주(정제대두유)_(50g/250mL),250,mL/백,11431,프레지니우스카비코리아(주),230504BIJ,soybean oil(20%)   50g(0.2g/mL),주사,329
8806509010111,650901010,카비벤페리페랄주(Kabiven Peripheral Inj.)_(1440mL),1440,mL/백,25848,프레지니우스카비코리아(주),418400BIJ,aminoacetic acid(glycine)   2.304g(B액299.52mL중),주사,325
8806509010616,650901060,케토스테릴정_(1정),1,정,295,프레지니우스카비코리아(주),434700ATB,L-histidine   38mg,내복,325
